hex_id,transport_within_500m,commerce_within_500m,education_within_500m,residential_within_500m,office_within_500m,leisure_within_500m,transport_within_1000m,commerce_within_1000m,education_within_1000m,residential_within_1000m,office_within_1000m,leisure_within_1000m,distance_to_nearest_transport,distance_to_nearest_commerce,distance_to_nearest_education,distance_to_nearest_residential,distance_to_nearest_office,distance_to_nearest_leisure,hex_area_sqkm,transport_within_500m_density,commerce_within_500m_density,education_within_500m_density,residential_within_500m_density,office_within_500m_density,leisure_within_500m_density,transport_within_1000m_density,commerce_within_1000m_density,education_within_1000m_density,residential_within_1000m_density,office_within_1000m_density,leisure_within_1000m_density,target,cluster,potential_category,integral_potential,attractiveness_score,competition_factor
8911aa4e2b3ffff,2,14,0,10,0,3,10,42,1,43,3,12,76.33204044979885,158.84097632084962,51.61698608295611,95.0944632441565,625.8457063564003,147.0526747014876,0.3090814928265596,6.470785363788493,45.29549754651945,0.0,32.35392681894246,0.0,9.706178045682739,32.35392681894246,135.88649263955836,3.2353926818942464,139.1218853214526,9.706178045682739,38.824712182730956,0,0,Категория 2,0.285,0.05,0.8333333333333334
8911aa7b347ffff,0,14,1,4,4,2,13,58,5,36,7,24,579.6978645868137,253.33171907342035,35.60474436796697,233.6082262170708,0.0,187.12381079587206,0.31086957849847924,0.0,45.03496311096419,3.216783079354585,12.86713231741834,12.86713231741834,6.43356615870917,41.81818003160961,186.57341860256594,16.083915396772927,115.80419085676508,22.517481555482096,77.20279390451005,0,0,Категория 2,0.391,0.13,1.0
8911aa48657ffff,4,14,0,0,0,1,6,20,0,15,0,2,88.90216842251905,97.37592527276993,979.3149732757373,499.47132384937083,1817.9159759914673,171.96995449233847,0.3063550965858172,13.056743774065161,45.69860320922806,0.0,0.0,0.0,3.2641859435162903,19.585115661097742,65.2837188703258,0.0,48.96278915274435,0.0,6.528371887032581,0,0,Категория 2,0.32799999999999996,0.04,1.0
8911aa615d3ffff,6,17,2,6,0,1,12,61,3,60,8,11,117.84657798036388,134.93176968868144,276.7731307746421,157.95655905111627,469.9765881610378,68.13068408971822,0.3133688221110445,19.146767567942216,54.24917477583627,6.3822558559807385,19.146767567942216,0.0,3.1911279279903693,38.29353513588443,194.65880360741252,9.573383783971108,191.46767567942214,25.529023423922954,35.10240720789406,0,0,Категория 2,0.285,0.05,0.8333333333333334
8911aa71817ffff,5,23,0,9,3,0,15,78,5,58,5,16,196.9132864802953,126.07483282693785,305.98402744406127,176.48372412226698,67.68686775495793,483.49487346092997,0.31334048605790543,15.957082542713609,73.4025796964826,0.0,28.7227485768845,9.574249525628165,0.0,47.87124762814083,248.9304876663323,15.957082542713609,185.10215749547788,15.957082542713609,51.06266413668355,0,0,Категория 2,0.33499999999999996,0.05,1.0
891181b6923ffff,4,14,0,6,1,4,16,82,2,29,3,15,176.22270591626966,191.66190556519703,616.5457191685116,181.40395772751558,305.92201641525156,83.13176669244805,0.3112470415569972,12.851527776746753,44.98034721861364,0.0,19.277291665120128,3.2128819441866883,12.851527776746753,51.40611110698701,263.45631942330846,6.4257638883733765,93.17357638141395,9.638645832560064,48.19322916280032,0,0,Категория 1,0.241,0.13,0.5
8911aa4198fffff,0,0,0,0,0,0,0,0,0,0,0,0,2334.607315839835,2207.5491557673345,4042.7308054611567,3638.3124340227905,3838.8577208715674,2375.113608578486,0.30877821432675323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
89118194063ffff,2,1,0,0,0,0,4,11,0,5,0,1,26.138301596756815,267.89308733890954,2794.893722109919,702.0591368779254,9173.740416140523,844.0868313535326,0.30438283530696264,6.570672745008926,3.285336372504463,0.0,0.0,0.0,0.0,13.141345490017851,36.13870009754909,0.0,16.426681862522315,0.0,3.285336372504463,0,0,Категория 2,0.3,0.0,1.0
8911aa5b277ffff,0,0,0,0,0,0,0,0,0,0,0,0,2002.596507234439,1954.0280598747497,10456.293927170258,1680.1204760915205,14463.491748709046,971.1380812965276,0.3050133117393629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Категория 2,0.3,0.0,1.0
8911aa4e417ffff,0,3,0,0,0,0,0,70,0,3,1,0,1142.2481996880088,428.689120065358,2103.702247718863,487.83145221496443,844.9525763106803,1169.546810153774,0.30914108247888,0.0,9.70430709481958,0.0,0.0,0.0,0.0,0.0,226.43383221245685,0.0,9.70430709481958,3.2347690316065263,0.0,0,0,Категория 2,0.32799999999999996,0.04,1.0
8911aa6815bffff,2,0,0,0,0,0,4,1,0,8,0,0,267.87371231582415,962.3394944082057,1579.9509036397917,496.6775503447281,1747.4288898329778,1417.483378463625,0.3125754134479152,6.3984559052123355,0.0,0.0,0.0,0.0,0.0,12.796911810424671,3.1992279526061678,0.0,25.593823620849342,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
8911819522bffff,0,0,0,0,0,0,2,0,0,0,0,0,627.2877762114593,1416.891000560877,12195.424208751585,9122.64683027175,22833.348397976766,7208.164084092505,0.3034308028051796,0.0,0.0,0.0,0.0,0.0,0.0,6.591288628281149,0.0,0.0,0.0,0.0,0.0,0,1,Категория 2,0.3,0.0,1.0
89118186623ffff,0,0,0,0,0,0,0,0,0,0,0,0,2548.9847169522927,3463.7126767684936,4588.721686291415,3531.1727382135814,15151.476964347235,2547.1164793472262,0.3049327631859182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Категория 2,0.3,0.0,1.0
8911aa4c373ffff,2,7,0,1,0,2,6,39,0,16,0,7,332.68001065021053,361.46177796074136,970.472472304344,261.45869124115205,1608.9693532978954,368.7314349346585,0.3092891886763007,6.466440060707011,22.632540212474538,0.0,3.2332200303535057,0.0,6.466440060707011,19.399320182121034,126.09558118378672,0.0,51.73152048565609,0.0,22.632540212474538,0,0,Категория 1,0.2,0.0,0.6666666666666667
8911aa40173ffff,0,0,0,0,0,0,0,0,0,0,0,0,2221.2264343716597,1263.7378318372148,3479.352442578744,2430.3829206812925,2782.7728153454327,952.4148977555967,0.30875799425369266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Категория 2,0.3,0.0,1.0
